[rosmaster.main][INFO] 2020-03-16 14:20:51,376: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-03-16 14:20:51,376: Starting ROS Master Node
[xmlrpc][INFO] 2020-03-16 14:20:51,377: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-03-16 14:20:51,377: Started XML-RPC server [http://172.18.0.22:11311/]
[rosmaster.master][INFO] 2020-03-16 14:20:51,377: Master initialized: port[11311], uri[http://172.18.0.22:11311/]
[xmlrpc][INFO] 2020-03-16 14:20:51,377: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-03-16 14:20:51,439: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:51,440: +PARAM [/roslaunch/uris/host_172_18_0_22__45123] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,024: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,024: +PARAM [/ariac/gantry/left_arm_controller/gains/left_shoulder_lift_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,024: +PARAM [/ariac/gantry/gantry_controller/gains/torso_base_main_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,024: +PARAM [/ariac/gantry/gantry_controller/constraints/goal_time] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,024: +PARAM [/ariac/gantry/right_arm_controller/constraints/right_wrist_2_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,024: +PARAM [/ariac/gantry/left_arm_controller/constraints/left_wrist_2_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,024: +PARAM [/ariac/gantry/left_arm_controller/stop_trajectory_duration] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,024: +PARAM [/ariac/gantry/right_arm_controller/gains/right_elbow_joint/d] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,024: +PARAM [/ariac/gantry/right_arm_controller/gains/right_wrist_1_joint/d] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,024: +PARAM [/ariac/gantry/left_arm_controller/constraints/stopped_velocity_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,025: +PARAM [/ariac/gantry/left_arm_controller/gains/left_wrist_1_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,025: +PARAM [/ariac/gantry/right_arm_controller/constraints/right_shoulder_pan_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,025: +PARAM [/ariac/gantry/right_arm_controller/gains/right_elbow_joint/i] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,025: +PARAM [/ariac/gantry/left_arm_controller/constraints/left_shoulder_pan_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,025: +PARAM [/ariac/gantry/right_arm_controller/stop_trajectory_duration] by /roslaunch
[rosmaster.master][INFO] 2020-03-16 14:20:52,025: +PARAM [/ariac/gantry/right_arm_controller/gains/right_wrist_1_joint/p] by /roslaunch
